,category,cost_type,price,sup_size,dedi_size,title,lat_num,lng_num,detail_num
101,아파트,매매,"37,500",125.6,85.95,"#강추#노형동노블레스아파트/구조최상,넓음/남향/학군최상/협의입주",33.48731230268717,126.4762537489871,1113509
102,아파트,매매,"39,000",128.9,82.64,건입동 사라봉언덕 신축 엘마몽떼빌 복층형/남향/한라산 제주항 전망최상/즉시입주,33.5171552541931,126.53991084799922,1115806
103,아파트,전세,"17,000",99,82.74,★아라천일아파트★ 올리모델링,,,1113736
104,토지임야,매매,"79,000",6529,,"덕수리 산방산 뷰최상인 급매 과수원 ,",,,1112657
105,토지임야,매매,"14,500",548.8,,납읍리 과수원 주택도가능함,,,1096079
106,토지임야,매매,"130,000",3854,,k-179 협재리 2차선접 식당허가득 부지,,,1111410
107,아파트,전세,"23,000",98.7244,84.5244,외도1동 외도더그라벨아파트 전세,33.486199890920886,126.42698079165234,1115785
108,상가점포,임대,"6,000/4,000",337.19,0.000,★★공항인근//신축상가 임대★★,,,1101204
109,원룸투룸쓰리룸,전세,"20,000",,,(신축!)아라아이파크 인근 쓰리룸 전세,,,1115784
110,원룸투룸쓰리룸,년월세,"1,000/1,100",112.4,82.63,[ 롯데마트 건너편] 에코퍼플 복층형 쓰리룸-노형동 쓰리룸,,,1111376
111,빌라연립다세대,전세,"22,000",85.95,79.34,[아트빌6차전세] 내부넓고 좋은 복층 구조의  남향집,,,1112760
